	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
164	376.3	2.0297e-008	15.122	
165	399.82	2.0639e-008	161.63	
166	416.59	5.2287e-008	170.47	
167	423.32	6.7248e-008	171.46	
168	449.77	1.5326e-007	171.7	
169	464.81	2.5445e-007	168.89	
170	473.01	3.6658e-007	163.37	
171	477.37	4.65e-007	154.99	
172	479.65	5.1595e-007	146.59	
173	480.85	5.2786e-007	141.15	
174	481.47	5.2703e-007	138.38	
175	481.79	5.2461e-007	137.04	
176	481.96	5.2288e-007	136.39	
177	482.05	5.2186e-007	136.07	
178	482.09	5.213e-007	135.9	
179	482.14	5.2067e-007	135.73	
180	482.19	5.2003e-007	135.56	
181	482.23	5.1941e-007	135.4	
182	482.32	5.1817e-007	135.11	
183	482.49	5.156e-007	134.58	
184	482.81	5.1016e-007	133.68	
185	483.43	4.99e-007	132.49	
186	484.64	4.8302e-007	132.11	
187	486.96	5.0458e-007	134.11	
188	487.88	5.3228e-007	133.97	
189	488.72	5.6475e-007	132.83	
190	491.07	6.6296e-007	123.82	
191	492.29	6.9384e-007	115.82	
192	492.93	6.9598e-007	111.08	
193	493.26	6.9244e-007	108.56	
194	493.43	6.893e-007	107.26	
195	493.52	6.8732e-007	106.59	
196	493.56	6.8621e-007	106.24	
197	493.61	6.8494e-007	105.87	
198	493.66	6.8359e-007	105.5	
199	493.71	6.8228e-007	105.15	
200	493.8	6.7957e-007	104.49	
201	493.97	6.737e-007	103.23	
202	494.3	6.6012e-007	100.89	
203	494.94	6.2677e-007	96.777	
204	496.17	5.4674e-007	91.168	
205	498.55	4.0368e-007	91.513	
206	503.14	3.5847e-007	119.59	
207	505.23	4.3124e-007	128.69	
208	507.06	5.2936e-007	132.05	
209	511.74	9.4165e-007	124.2	
210	514.19	1.2514e-006	109.3	
211	515.47	1.3956e-006	98.027	
212	516.14	1.4483e-006	91.415	
213	516.48	1.4671e-006	87.861	
214	516.66	1.4742e-006	85.999	
215	516.75	1.4772e-006	85.031	
216	516.8	1.4786e-006	84.529	
217	516.85	1.4799e-006	83.99	
218	516.91	1.481e-006	83.45	
219	516.95	1.482e-006	82.947	
220	517.05	1.4834e-006	81.978	
221	517.23	1.4848e-006	80.109	
222	517.57	1.4823e-006	76.529	
223	518.24	1.4596e-006	69.824	
224	519.53	1.3651e-006	58.19	
225	522.02	1.1177e-006	41.839	
226	526.83	7.5162e-007	26.508	
227	529.39	6.2744e-007	23.008	
228	531.65	5.43e-007	21.608	
229	536.55	4.2259e-007	24.329	
230	539.13	4.0417e-007	28.568	
231	540.47	4.1134e-007	29.834	
232	541.17	4.1778e-007	29.763	
233	541.53	4.2121e-007	29.501	
234	541.72	4.2292e-007	29.306	
235	541.81	4.2376e-007	29.19	
236	541.87	4.2419e-007	29.126	
237	541.92	4.2464e-007	29.055	
238	541.97	4.2509e-007	28.98	
239	542.02	4.2549e-007	28.908	
240	542.12	4.2623e-007	28.762	
241	542.31	4.2756e-007	28.455	
242	542.67	4.2962e-007	27.782	
243	543.37	4.3142e-007	26.253	
244	544.73	4.2637e-007	22.98	
245	547.34	3.9609e-007	17.681	
246	552.38	3.2803e-007	12.817	
247	554.78	3.0054e-007	11.979	
248	556.88	2.7872e-007	11.727	
249	562.01	2.3149e-007	12.9	
250	564.71	2.0828e-007	14.974	
251	566.11	1.9634e-007	16.816	
252	566.85	1.9028e-007	18.09	
253	567.23	1.8722e-007	18.857	
254	567.42	1.8566e-007	19.286	
255	567.52	1.8486e-007	19.517	
256	567.58	1.8445e-007	19.639	
257	567.63	1.8401e-007	19.772	
258	567.69	1.8357e-007	19.907	
259	567.74	1.8317e-007	20.035	
260	567.85	1.8239e-007	20.286	
261	568.04	1.8092e-007	20.788	
262	568.42	1.7817e-007	21.829	
263	569.16	1.7333e-007	24.116	
264	570.57	1.6644e-007	29.63	
265	573.31	1.6987e-007	43.717	
266	573.78	1.7396e-007	46.256	
267	574.19	1.7856e-007	48.344	
268	576.94	2.376e-007	56.446	
269	578.38	2.8226e-007	54.603	
270	579.13	3.0502e-007	52.063	
271	579.51	3.1587e-007	50.412	
272	579.71	3.2112e-007	49.485	
273	579.82	3.2373e-007	48.988	
274	579.87	3.2505e-007	48.727	
275	579.93	3.2644e-007	48.443	
276	579.99	3.2781e-007	48.156	
277	580.04	3.2905e-007	47.886	
278	580.15	3.3139e-007	47.36	
279	580.35	3.3565e-007	46.322	
280	580.74	3.4285e-007	44.261	
281	581.49	3.528e-007	40.192	
282	582.93	3.5841e-007	32.716	
283	585.73	3.3944e-007	21.888	
284	591.13	2.8749e-007	11.832	
285	598.3	2.4123e-007	7.0597	
286	604.98	2.1345e-007	5.2376	
287	610.56	1.9634e-007	4.5009	
288	613.49	1.8902e-007	4.3141	
289	615.01	1.8569e-007	4.2372	
290	615.81	1.8408e-007	4.1884	
291	616.22	1.8327e-007	4.1586	
292	616.43	1.8286e-007	4.1417	
293	616.55	1.8265e-007	4.1325	
294	616.6	1.8254e-007	4.1276	
295	616.66	1.8242e-007	4.1223	
296	616.73	1.823e-007	4.1169	
297	616.78	1.8219e-007	4.1119	
298	616.89	1.8198e-007	4.1018	
299	617.11	1.8158e-007	4.0816	
300	617.52	1.808e-007	4.0399	
301	618.32	1.7931e-007	3.9503	
302	619.86	1.7644e-007	3.7586	
303	622.83	1.7093e-007	3.4089	
304	628.57	1.6109e-007	2.9444	
305	639.65	1.4548e-007	2.433	
306	661.04	1.235e-007	1.8918	
307	702.35	9.6364e-008	1.3662	
308	782.1	6.7505e-008	0.91826	
309	936.06	4.1398e-008	0.5851	
310	1000.	3.5178e-008	0.51318	
