	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
165	329.15	1.5563e-004	93.55	
166	331.74	1.4657e-004	94.044	
167	333.35	1.408e-004	94.469	
168	334.35	1.3721e-004	94.79	
169	334.97	1.35e-004	95.006	
170	335.35	1.3363e-004	95.142	
171	335.58	1.3279e-004	95.226	
172	335.73	1.3227e-004	95.278	
173	335.82	1.3194e-004	95.31	
174	335.88	1.3175e-004	95.33	
175	335.91	1.3162e-004	95.342	
176	335.93	1.3155e-004	95.35	
177	335.96	1.3143e-004	95.361	
178	336.	1.313e-004	95.373	
179	336.02	1.3123e-004	95.381	
180	336.05	1.3111e-004	95.393	
181	336.11	1.3091e-004	95.413	
182	336.2	1.3058e-004	95.445	
183	336.34	1.3005e-004	95.497	
184	336.58	1.2918e-004	95.582	
185	336.96	1.2774e-004	95.724	
186	337.59	1.2535e-004	95.97	
187	338.6	1.2129e-004	96.443	
188	340.24	1.143e-004	97.534	
189	342.92	1.0214e-004	100.81	
190	343.5	9.9408e-005	101.96	
191	343.92	9.7456e-005	102.92	
192	346.62	8.7688e-005	113.51	
193	348.31	9.1054e-005	124.22	
194	349.35	1.0143e-004	129.33	
195	350.	1.1079e-004	130.29	
196	350.4	1.17e-004	129.86	
197	350.64	1.2074e-004	129.23	
198	350.8	1.2295e-004	128.72	
199	350.89	1.2426e-004	128.36	
200	350.95	1.2505e-004	128.12	
201	350.98	1.2552e-004	127.97	
202	351.	1.2581e-004	127.87	
203	351.04	1.2627e-004	127.72	
204	351.07	1.2672e-004	127.56	
205	351.1	1.27e-004	127.46	
206	351.13	1.2744e-004	127.29	
207	351.19	1.2814e-004	127.01	
208	351.28	1.2923e-004	126.54	
209	351.44	1.3087e-004	125.73	
210	351.68	1.3314e-004	124.33	
211	352.08	1.3577e-004	121.92	
212	352.74	1.3734e-004	118.01	
213	353.79	1.3461e-004	112.53	
214	355.51	1.2419e-004	106.65	
215	358.3	1.0626e-004	102.37	
216	362.83	8.2605e-005	101.01	
217	370.19	5.1557e-005	104.86	
218	382.14	1.379e-005	170.63	
219	401.53	8.4381e-005	-102.07	
220	416.59	1.6553e-004	-98.219	
221	421.51	1.9694e-004	-97.729	
222	442.9	3.83e-004	-97.387	
223	457.2	5.9868e-004	-98.734	
224	466.47	8.4164e-004	-101.29	
225	472.36	1.1003e-003	-105.33	
226	476.07	1.3429e-003	-111.	
227	478.38	1.5196e-003	-117.5	
228	479.82	1.6083e-003	-123.17	
229	480.71	1.6363e-003	-127.13	
230	481.26	1.6387e-003	-129.55	
