	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
717	984.04	1.4903e-004	86.696	
718	985.86	1.5036e-004	86.603	
719	988.81	1.5252e-004	86.394	
720	989.02	1.5267e-004	86.377	
721	989.16	1.5277e-004	86.365	
722	992.13	1.5491e-004	86.07	
723	993.97	1.5623e-004	85.851	
724	995.1	1.5704e-004	85.704	
725	995.8	1.5754e-004	85.608	
726	996.23	1.5785e-004	85.548	
727	996.5	1.5804e-004	85.51	
728	996.66	1.5816e-004	85.487	
729	996.76	1.5824e-004	85.472	
730	996.82	1.5828e-004	85.463	
731	996.92	1.5836e-004	85.448	
732	997.02	1.5843e-004	85.434	
733	997.09	1.5848e-004	85.425	
734	997.19	1.5855e-004	85.41	
735	997.35	1.5867e-004	85.385	
736	997.62	1.5887e-004	85.345	
737	998.05	1.592e-004	85.278	
738	998.75	1.5974e-004	85.164	
739	999.89	1.6065e-004	84.965	
740	1000.	1.6074e-004	84.945	
