	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
164	376.3	4.1468e-006	78.774	
165	399.82	9.3053e-006	83.65	
166	416.59	1.4672e-005	83.409	
167	423.32	1.7734e-005	82.966	
168	449.77	4.4904e-005	78.185	
169	464.81	1.0809e-004	68.433	
170	473.01	2.396e-004	52.202	
171	477.37	4.3818e-004	30.68	
172	479.65	6.1834e-004	10.033	
173	480.85	7.2155e-004	-4.3283	
174	481.47	7.6976e-004	-12.622	
175	481.79	7.9185e-004	-17.078	
176	481.96	8.0235e-004	-19.417	
177	482.05	8.0751e-004	-20.634	
178	482.09	8.1011e-004	-21.266	
179	482.14	8.1285e-004	-21.946	
180	482.19	8.1552e-004	-22.626	
181	482.23	8.1796e-004	-23.26	
182	482.32	8.225e-004	-24.485	
183	482.49	8.3069e-004	-26.853	
184	482.81	8.4433e-004	-31.419	
185	483.43	8.6275e-004	-40.121	
186	484.64	8.7463e-004	-56.037	
187	486.96	8.6659e-004	-82.949	
188	487.88	8.6836e-004	-92.784	
189	488.72	8.7542e-004	-101.98	
190	491.07	9.1114e-004	-129.89	
191	492.29	9.1754e-004	-146.78	
192	492.93	9.0935e-004	-156.1	
193	493.26	9.0107e-004	-161.02	
194	493.43	8.9564e-004	-163.58	
195	493.52	8.9252e-004	-164.91	
196	493.56	8.9082e-004	-165.59	
197	493.61	8.8894e-004	-166.33	
198	493.66	8.8699e-004	-167.07	
199	493.71	8.8512e-004	-167.76	
200	493.8	8.8136e-004	-169.08	
201	493.97	8.7354e-004	-171.63	
202	494.3	8.5651e-004	-176.51	
203	494.94	8.1753e-004	174.33	
204	496.17	7.2989e-004	158.08	
205	498.55	5.747e-004	133.06	
206	503.14	4.3341e-004	100.7	
207	505.23	4.242e-004	89.111	
208	507.06	4.3883e-004	79.334	
209	511.74	5.8053e-004	50.623	
210	514.19	7.134e-004	28.777	
211	515.47	7.7705e-004	14.492	
212	516.14	7.9993e-004	6.4416	
213	516.48	8.0776e-004	2.1685	
214	516.66	8.1061e-004	-5.8839e-002	
215	516.75	8.1175e-004	-1.2142	
216	516.8	8.1226e-004	-1.8128	
217	516.85	8.1272e-004	-2.456	
218	516.91	8.1312e-004	-3.099	
219	516.95	8.1343e-004	-3.6971	
220	517.05	8.1384e-004	-4.8507	
221	517.23	8.1397e-004	-7.0713	
222	517.57	8.1183e-004	-11.319	
223	518.24	7.9941e-004	-19.277	
224	519.53	7.5275e-004	-33.213	
225	522.02	6.3917e-004	-53.756	
226	526.83	5.0089e-004	-77.508	
227	529.39	4.7456e-004	-86.624	
228	531.65	4.7265e-004	-94.555	
229	536.55	5.3154e-004	-116.94	
230	539.13	5.7974e-004	-136.11	
231	540.47	5.8889e-004	-149.12	
232	541.17	5.8352e-004	-156.53	
233	541.53	5.7738e-004	-160.48	
234	541.72	5.7328e-004	-162.54	
235	541.81	5.7091e-004	-163.61	
236	541.87	5.6961e-004	-164.16	
237	541.92	5.6817e-004	-164.76	
238	541.97	5.6667e-004	-165.35	
239	542.02	5.6524e-004	-165.9	
240	542.12	5.6235e-004	-166.97	
241	542.31	5.5631e-004	-169.03	
242	542.67	5.4311e-004	-172.95	
243	543.37	5.127e-004	179.7	
244	544.73	4.435e-004	166.95	
245	547.34	3.157e-004	148.74	
246	552.38	1.6721e-004	130.2	
247	554.78	1.2817e-004	125.08	
248	556.88	1.0285e-004	121.22	
249	562.01	5.8537e-005	108.62	
250	564.71	3.5358e-005	93.116	
251	566.11	2.0663e-005	76.58	
252	566.85	1.2607e-005	58.791	
253	567.23	8.8456e-006	40.131	
254	567.42	7.3384e-006	24.402	
255	567.52	6.788e-006	14.017	
256	567.58	6.5859e-006	8.0715	
257	567.63	6.4409e-006	1.3491	
258	567.69	6.3761e-006	-5.5911	
259	567.74	6.3902e-006	-12.104	
260	567.85	6.6178e-006	-24.321	
261	568.04	7.7001e-006	-44.394	
262	568.42	1.1209e-005	-68.621	
263	569.16	1.963e-005	-90.051	
264	570.57	3.6261e-005	-109.13	
265	573.31	6.6086e-005	-130.59	
266	573.78	7.117e-005	-133.77	
267	574.19	7.5586e-005	-136.51	
268	576.94	1.06e-004	-156.83	
269	578.38	1.1967e-004	-169.63	
270	579.13	1.2476e-004	-176.83	
271	579.51	1.2664e-004	179.35	
272	579.71	1.2739e-004	177.36	
273	579.82	1.2772e-004	176.33	
274	579.87	1.2787e-004	175.79	
275	579.93	1.2802e-004	175.22	
276	579.99	1.2815e-004	174.64	
277	580.04	1.2827e-004	174.11	
278	580.15	1.2846e-004	173.08	
279	580.35	1.2869e-004	171.1	
280	580.74	1.287e-004	167.31	
281	581.49	1.2713e-004	160.25	
282	582.93	1.1962e-004	148.03	
283	585.73	9.9174e-005	130.72	
284	591.13	6.9178e-005	113.17	
285	598.3	5.0064e-005	101.45	
286	604.98	4.298e-005	91.038	
287	610.56	4.1812e-005	74.991	
288	613.49	4.0901e-005	59.223	
289	615.01	3.8892e-005	48.176	
290	615.81	3.7138e-005	41.863	
291	616.22	3.6024e-005	38.512	
292	616.43	3.5393e-005	36.77	
293	616.55	3.5053e-005	35.868	
294	616.6	3.4873e-005	35.401	
295	616.66	3.4678e-005	34.9	
296	616.73	3.4479e-005	34.399	
297	616.78	3.4292e-005	33.934	
298	616.89	3.3925e-005	33.038	
299	617.11	3.3195e-005	31.32	
300	617.52	3.1716e-005	28.058	
301	618.32	2.8674e-005	22.076	
302	619.86	2.2688e-005	12.288	
303	622.83	1.33e-005	1.6367	
304	628.57	4.6802e-006	11.312	
305	639.65	2.7345e-006	76.434	
306	661.04	2.4741e-006	95.282	
307	702.35	1.0929e-006	99.84	
308	782.1	1.365e-007	-118.82	
309	936.06	6.2144e-007	-91.208	
310	1000.	6.5827e-007	-90.627	
