	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
164	376.3	2.2532e-008	13.369	
165	399.82	1.7989e-008	159.19	
166	416.59	4.909e-008	170.04	
167	423.32	6.3811e-008	171.17	
168	449.77	1.4828e-007	171.6	
169	464.81	2.4739e-007	168.83	
170	473.01	3.5693e-007	163.37	
171	477.37	4.5294e-007	155.1	
172	479.65	5.029e-007	146.84	
173	480.85	5.1501e-007	141.51	
174	481.47	5.1462e-007	138.8	
175	481.79	5.1254e-007	137.49	
176	481.96	5.1101e-007	136.86	
177	482.05	5.101e-007	136.54	
178	482.09	5.096e-007	136.38	
179	482.14	5.0905e-007	136.21	
180	482.19	5.0847e-007	136.04	
181	482.23	5.0791e-007	135.89	
182	482.32	5.068e-007	135.61	
183	482.49	5.0448e-007	135.09	
184	482.81	4.9959e-007	134.22	
185	483.43	4.8959e-007	133.07	
186	484.64	4.7597e-007	132.7	
187	486.96	5.0086e-007	134.46	
188	487.88	5.2929e-007	134.18	
189	488.72	5.6225e-007	132.92	
190	491.07	6.6154e-007	123.58	
191	492.29	6.9306e-007	115.39	
192	492.93	6.9556e-007	110.55	
193	493.26	6.9219e-007	107.98	
194	493.43	6.8914e-007	106.65	
195	493.52	6.8721e-007	105.96	
196	493.56	6.8612e-007	105.6	
197	493.61	6.8487e-007	105.22	
198	493.66	6.8356e-007	104.84	
199	493.71	6.8227e-007	104.49	
200	493.8	6.796e-007	103.81	
201	493.97	6.7381e-007	102.52	
202	494.3	6.6037e-007	100.1	
203	494.94	6.2719e-007	95.855	
204	496.17	5.4709e-007	89.922	
205	498.55	4.0159e-007	89.473	
206	503.14	3.4404e-007	117.48	
207	505.23	4.1132e-007	127.25	
208	507.06	5.0477e-007	131.08	
209	511.74	9.011e-007	123.83	
210	514.19	1.1993e-006	109.09	
211	515.47	1.3381e-006	97.875	
212	516.14	1.389e-006	91.293	
213	516.48	1.4071e-006	87.753	
214	516.66	1.4141e-006	85.899	
215	516.75	1.417e-006	84.935	
216	516.8	1.4183e-006	84.435	
217	516.85	1.4196e-006	83.897	
218	516.91	1.4207e-006	83.359	
219	516.95	1.4216e-006	82.859	
220	517.05	1.423e-006	81.893	
221	517.23	1.4244e-006	80.032	
222	517.57	1.4221e-006	76.465	
223	518.24	1.4004e-006	69.785	
224	519.53	1.3098e-006	58.199	
225	522.02	1.072e-006	41.944	
